dataset,ce_only,kd_logit,kd_hidden,kd_attn,kd_logit_hidden,kd_logit_attn,kd_hidden_attn,kd_full
davidson,0.0,0.010789999999999966,0.014290000000000025,0.024799999999999933,0.02317999999999998,0.018460000000000032,0.017189999999999928,0.02690999999999999
dynahate,0.0,0.0013099999999999223,-0.03569,-0.0003300000000000525,-0.034230000000000094,0.004129999999999967,-0.024390000000000023,-0.014100000000000001
hateval,0.0,0.007590000000000097,-0.005899999999999905,0.011910000000000087,0.006230000000000069,-0.012050000000000005,-0.008419999999999983,0.0038600000000000856
anli,0.0,0.008289999999999964,-0.003420000000000034,-0.0009399999999999964,0.005929999999999991,0.007699999999999985,-0.0044600000000000195,0.004579999999999973
fever,0.0,-0.00385000000000002,-0.019870000000000054,-0.003569999999999962,-0.009800000000000031,-0.006000000000000005,-0.020990000000000064,-0.009210000000000051
imdb,0.0,0.0006199999999999539,-0.011720000000000064,0.0017300000000000093,0.0004899999999999904,0.00046000000000001595,-0.011450000000000071,0.00031999999999998696
tweet_eval-sentiment,0.0,0.003970000000000029,-0.011660000000000004,0.0017199999999999438,-0.007060000000000066,-0.01585000000000003,-0.011319999999999997,-0.003940000000000055
vardial,0.0,-0.026919999999999944,-0.17577999999999994,-0.02083999999999997,-0.015799999999999925,-0.003229999999999955,-0.18100999999999995,-0.050979999999999914
