dataset,condition,pair,attention_kl
fever,kd_hidden,s4-t12,0.7575869052502051
fever,kd_attn,s1-t3,0.12548591461473715
fever,kd_attn,s2-t6,0.19480328454259382
fever,kd_attn,s3-t9,0.376265225242258
fever,kd_attn,s4-t12,1.2222545295195857
fever,kd_logit_hidden,s1-t3,0.12062835735084257
fever,kd_logit_hidden,s2-t6,0.16688447221563527
fever,kd_logit_hidden,s3-t9,0.30029444080380946
fever,kd_logit_hidden,s4-t12,0.7701840741535925
fever,kd_logit_attn,s1-t3,0.12403962425042085
fever,kd_logit_attn,s2-t6,0.19862578936799288
fever,kd_logit_attn,s3-t9,0.4184698491335111
fever,kd_logit_attn,s4-t12,1.2282650353773585
fever,kd_hidden_attn,s1-t3,0.1151672672045371
fever,kd_hidden_attn,s2-t6,0.16548972292809594
fever,kd_hidden_attn,s3-t9,0.20745025793320174
fever,kd_hidden_attn,s4-t12,0.5529302616343656
fever,kd_full,s1-t3,0.11992819298151447
fever,kd_full,s2-t6,0.1656041709392945
fever,kd_full,s3-t9,0.2751598897448387
fever,kd_full,s4-t12,0.6577124804527277
imdb,ce_only,s1-t3,0.16774363041361137
imdb,ce_only,s2-t6,0.27035244186615015
imdb,ce_only,s3-t9,0.44747203606382746
imdb,ce_only,s4-t12,1.4993446422680474
imdb,kd_logit,s1-t3,0.16046232281806078
imdb,kd_logit,s2-t6,0.2340602674007702
imdb,kd_logit,s3-t9,0.4408447512551262
imdb,kd_logit,s4-t12,1.588355818644513
imdb,kd_hidden,s1-t3,0.20311511909130148
imdb,kd_hidden,s2-t6,0.3264948931327831
imdb,kd_hidden,s3-t9,0.7403772141260588
imdb,kd_hidden,s4-t12,1.2887136394906207
imdb,kd_attn,s1-t3,0.16538575275903059
imdb,kd_attn,s2-t6,0.2635109928948203
imdb,kd_attn,s3-t9,0.43072421991055343
imdb,kd_attn,s4-t12,1.0486224740060723
imdb,kd_logit_hidden,s1-t3,0.16650219898639237
imdb,kd_logit_hidden,s2-t6,0.2737591581092313
imdb,kd_logit_hidden,s3-t9,0.5701407473519627
imdb,kd_logit_hidden,s4-t12,1.029049532050041
imdb,kd_logit_attn,s1-t3,0.15795869886650968
imdb,kd_logit_attn,s2-t6,0.22519858928865977
imdb,kd_logit_attn,s3-t9,0.4291708839614479
imdb,kd_logit_attn,s4-t12,1.1403638446122666
imdb,kd_hidden_attn,s1-t3,0.1986365576769128
imdb,kd_hidden_attn,s2-t6,0.2887859734524637
imdb,kd_hidden_attn,s3-t9,0.7049323613410269
imdb,kd_hidden_attn,s4-t12,1.092235493205577
imdb,kd_full,s1-t3,0.1668617795679383
imdb,kd_full,s2-t6,0.260089109977747
imdb,kd_full,s3-t9,0.5605107388848612
imdb,kd_full,s4-t12,0.8207659337812905
tweet_eval-sentiment,ce_only,s1-t3,0.1020286367781889
tweet_eval-sentiment,ce_only,s2-t6,0.14963241507009764
tweet_eval-sentiment,ce_only,s3-t9,0.27475644321898157
tweet_eval-sentiment,ce_only,s4-t12,0.5760563638626367
tweet_eval-sentiment,kd_logit,s1-t3,0.08963926130588959
tweet_eval-sentiment,kd_logit,s2-t6,0.1287267119292318
tweet_eval-sentiment,kd_logit,s3-t9,0.25078222033225106
tweet_eval-sentiment,kd_logit,s4-t12,0.49996356175051265
tweet_eval-sentiment,kd_hidden,s1-t3,0.10465623338922757
tweet_eval-sentiment,kd_hidden,s2-t6,0.20207929528067542
tweet_eval-sentiment,kd_hidden,s3-t9,0.23802687154743596
tweet_eval-sentiment,kd_hidden,s4-t12,0.42883469114063244
tweet_eval-sentiment,kd_attn,s1-t3,0.10087746526307284
tweet_eval-sentiment,kd_attn,s2-t6,0.13105406786110987
tweet_eval-sentiment,kd_attn,s3-t9,0.21440037926737227
tweet_eval-sentiment,kd_attn,s4-t12,0.46850315057110875
tweet_eval-sentiment,kd_logit_hidden,s1-t3,0.09352605145222072
tweet_eval-sentiment,kd_logit_hidden,s2-t6,0.1519573548456477
tweet_eval-sentiment,kd_logit_hidden,s3-t9,0.20828543345738107
tweet_eval-sentiment,kd_logit_hidden,s4-t12,0.42839852292406555
tweet_eval-sentiment,kd_logit_attn,s1-t3,0.09397409426691718
tweet_eval-sentiment,kd_logit_attn,s2-t6,0.12568567203141406
tweet_eval-sentiment,kd_logit_attn,s3-t9,0.2338807618000141
tweet_eval-sentiment,kd_logit_attn,s4-t12,0.5006381893596326
tweet_eval-sentiment,kd_hidden_attn,s1-t3,0.1005996266339505
tweet_eval-sentiment,kd_hidden_attn,s2-t6,0.14891117910402366
tweet_eval-sentiment,kd_hidden_attn,s3-t9,0.19861840650044826
tweet_eval-sentiment,kd_hidden_attn,s4-t12,0.4129766082400886
tweet_eval-sentiment,kd_full,s1-t3,0.09195212271837448
tweet_eval-sentiment,kd_full,s2-t6,0.13520913480068467
tweet_eval-sentiment,kd_full,s3-t9,0.1735742484017283
tweet_eval-sentiment,kd_full,s4-t12,0.4197002005172732
vardial,ce_only,s1-t3,0.06565605200593777
vardial,ce_only,s2-t6,0.21376211084770536
vardial,ce_only,s3-t9,0.25547317013532306
vardial,ce_only,s4-t12,0.26751454559043475
vardial,kd_logit,s1-t3,0.06575238783558297
vardial,kd_logit,s2-t6,0.23016102660002033
vardial,kd_logit,s3-t9,0.20245900972330155
vardial,kd_logit,s4-t12,0.4298271276796237
vardial,kd_hidden,s1-t3,0.11671920847040891
vardial,kd_hidden,s2-t6,0.6419769475572583
vardial,kd_hidden,s3-t9,1.0528665280941567
vardial,kd_hidden,s4-t12,0.36672260164951614
vardial,kd_attn,s1-t3,0.06221412571190631
vardial,kd_attn,s2-t6,0.12374567890882388
vardial,kd_attn,s3-t9,0.1729204525335486
vardial,kd_attn,s4-t12,0.14855069403191942
vardial,kd_logit_hidden,s1-t3,0.0981686957670194
vardial,kd_logit_hidden,s2-t6,0.6989300243645236
vardial,kd_logit_hidden,s3-t9,0.7424048451952435
vardial,kd_logit_hidden,s4-t12,0.27124440075807443
vardial,kd_logit_attn,s1-t3,0.06331699221576949
vardial,kd_logit_attn,s2-t6,0.12819941537097312
vardial,kd_logit_attn,s3-t9,0.3141224124539934
vardial,kd_logit_attn,s4-t12,0.15963524009458915
vardial,kd_hidden_attn,s1-t3,0.10826076849157924
vardial,kd_hidden_attn,s2-t6,0.21368385486577543
vardial,kd_hidden_attn,s3-t9,0.18213658276033337
vardial,kd_hidden_attn,s4-t12,0.1573095283794361
vardial,kd_full,s1-t3,0.1051110560850893
vardial,kd_full,s2-t6,0.24818020598921
vardial,kd_full,s3-t9,0.20190589712956533
vardial,kd_full,s4-t12,0.16734589592286234
