dataset,condition,pair,cka
vardial,kd_logit_hidden,s4-t12,0.5908152785828787
vardial,kd_logit_attn,s1-t3,0.7200952908581381
vardial,kd_logit_attn,s2-t6,0.6776320062845735
vardial,kd_logit_attn,s3-t9,0.45108589455230325
vardial,kd_logit_attn,s4-t12,0.6167820012882418
vardial,kd_hidden_attn,s1-t3,0.5268374284230964
vardial,kd_hidden_attn,s2-t6,0.45027962907567937
vardial,kd_hidden_attn,s3-t9,0.2823860197564607
vardial,kd_hidden_attn,s4-t12,0.5387898620682137
vardial,kd_full,s1-t3,0.5346151955786729
vardial,kd_full,s2-t6,0.4443370611121209
vardial,kd_full,s3-t9,0.30359534157191104
vardial,kd_full,s4-t12,0.5898128159173478
